"list_two","encouragement","gender_feedback","female","ceo","ceo_pick","founder","founder_pick","tech","tech_pick","base_gender","gender","race","age","gender_code","race_code","num_excluded_total"
NA,0,1,1,0,1,1,0,1,0,1,"Man","White / Caucasian",69,1,1,265
NA,1,1,0,1,0,1,1,0,0,2,"Woman","White / Caucasian",29,0,1,265
1,0,0,0,1,0,1,1,0,0,2,"Man","Black or African American",37,1,0,265
NA,0,1,0,1,1,1,0,0,1,2,"Woman","Hispanic / Latinx",30,0,0,265
1,1,0,0,0,0,1,1,1,0,1,"Man","White / Caucasian",36,1,1,265
NA,0,1,0,1,0,0,1,1,1,0,"Woman","White / Caucasian",26,0,1,265
1,1,0,0,0,1,1,0,1,1,1,"Woman","White / Caucasian",27,0,1,265
NA,0,1,1,1,1,0,0,1,0,1,"Woman","Asian / Pacific Islander",22,0,0,265
NA,0,1,0,1,0,1,1,0,1,1,"Man","Asian / Pacific Islander",31,1,0,265
NA,0,1,0,1,0,0,1,1,1,2,"Woman","Black or African American",41,0,0,265
NA,1,1,0,1,0,1,1,0,1,1,"Man","White / Caucasian",34,1,1,265
NA,1,1,0,1,0,1,1,0,1,3,"Woman","White / Caucasian",37,0,1,265
NA,0,1,0,0,0,1,1,1,1,0,"Woman","White / Caucasian",42,0,1,265
1,0,0,0,1,1,0,0,1,1,0,"Man","White / Caucasian",39,1,1,265
NA,0,1,0,0,0,1,1,1,0,2,"Man","White / Caucasian",62,1,1,265
NA,1,1,0,0,1,1,0,1,1,4,"Man","White / Caucasian",60,1,1,265
1,1,0,1,0,1,1,0,1,0,0,"Man","White / Caucasian",41,1,1,265
1,0,0,0,1,1,1,0,0,1,3,"Woman","White / Caucasian",41,0,1,265
NA,1,1,0,1,1,1,0,0,0,5,"Woman","White / Caucasian",44,0,1,265
1,0,0,0,1,0,1,1,0,0,0,"Man","White / Caucasian",63,1,1,265
0,1,0,0,1,0,1,1,1,1,0,"Woman","White / Caucasian",40,0,1,265
NA,1,1,0,1,1,0,0,1,1,4,"Woman","White / Caucasian",54,0,1,265
1,1,0,0,0,1,1,0,1,0,1,"Woman","White / Caucasian",32,0,1,265
NA,0,1,1,0,1,1,0,1,0,0,"Woman","White / Caucasian",30,0,1,265
0,0,0,0,1,0,1,0,1,0,1,"Woman","White / Caucasian",28,0,1,265
NA,1,1,1,1,1,0,0,1,0,2,"Woman","Asian / Pacific Islander",43,0,0,265
1,0,0,0,1,1,1,0,0,1,0,"Man","White / Caucasian",37,1,1,265
NA,0,1,1,1,1,0,0,1,0,0,"Man","White / Caucasian",29,1,1,265
0,1,0,1,1,1,1,0,1,0,3,"Woman","Asian / Pacific Islander",42,0,0,265
0,1,0,0,1,0,1,0,1,0,1,"Woman","White / Caucasian",39,0,1,265
0,1,0,0,1,1,1,0,1,1,0,"Man","White / Caucasian",46,1,1,265
NA,1,1,0,1,0,0,1,1,0,0,"Man","White / Caucasian",28,1,1,265
NA,0,1,0,1,1,1,0,0,1,1,"Man","White / Caucasian",33,1,1,265
1,1,0,0,1,0,1,1,0,1,0,"Man","White / Caucasian",33,1,1,265
NA,1,1,1,0,0,1,0,1,0,1,"Man","Black or African American",44,1,0,265
0,0,0,0,1,1,1,0,1,1,2,"Woman","Black or African American",24,0,0,265
NA,0,1,0,1,0,1,1,0,1,2,"Woman","White / Caucasian",48,0,1,265
NA,1,1,1,0,1,1,0,1,0,1,"Man","White / Caucasian",72,1,1,265
NA,1,1,1,1,1,1,0,0,0,0,"Man","White / Caucasian",30,1,1,265
0,0,0,0,1,0,1,1,1,0,1,"Man","Black or African American",29,1,0,265
NA,1,1,0,1,1,1,0,0,1,2,"Man","White / Caucasian",32,1,1,265
NA,1,1,0,1,0,0,0,1,0,0,"Man","White / Caucasian",39,1,1,265
0,0,0,1,1,1,1,0,1,0,3,"Woman","White / Caucasian",35,0,1,265
1,1,0,0,1,1,0,0,1,1,4,"Woman","White / Caucasian",31,0,1,265
0,1,0,1,1,1,1,0,1,0,0,"Man","White / Caucasian",50,1,1,265
NA,0,1,0,0,0,1,0,1,0,1,"Man","White / Caucasian",37,1,1,265
NA,1,1,1,1,0,0,0,1,0,2,"Woman","White / Caucasian",43,0,1,265
0,0,0,1,1,1,1,0,1,0,3,"Woman","White / Caucasian",35,0,1,265
NA,0,1,1,1,1,1,0,0,0,1,"Woman","White / Caucasian",26,0,1,265
NA,0,1,1,1,1,1,0,0,0,1,"Woman","Asian / Pacific Islander",39,0,0,265
1,1,0,1,1,1,1,0,0,0,0,"Man","White / Caucasian",40,1,1,265
1,0,0,0,0,1,1,0,1,1,1,"Woman","White / Caucasian",43,0,1,265
1,0,0,0,1,1,0,0,1,0,0,"Man","White / Caucasian",34,1,1,265
NA,0,1,0,0,1,1,0,1,1,1,"Woman","White / Caucasian",34,0,1,265
NA,1,1,1,1,0,1,0,0,0,2,"Woman","White / Caucasian",49,0,1,265
NA,1,1,1,0,0,1,0,1,0,0,"Man","White / Caucasian",39,1,1,265
1,0,0,0,0,0,1,1,1,1,1,"Man","White / Caucasian",38,1,1,265
NA,1,1,0,0,0,1,1,1,1,1,"Woman","White / Caucasian",34,0,1,265
1,0,0,0,1,0,0,0,1,0,2,"Man","Asian / Pacific Islander",32,1,0,265
NA,0,1,1,1,1,0,0,1,0,0,"Woman","White / Caucasian",63,0,1,265
1,0,0,1,0,1,1,0,1,0,1,"Woman","White / Caucasian",42,0,1,265
NA,1,1,0,1,0,1,1,0,1,1,"Woman","Asian / Pacific Islander",38,0,0,265
0,1,0,1,1,1,1,0,1,0,0,"Man","White / Caucasian",27,1,1,265
1,1,0,0,1,1,1,0,0,0,1,"Man","White / Caucasian",44,1,1,265
NA,1,1,0,0,1,1,0,1,0,2,"Man","Asian / Pacific Islander",48,1,0,265
NA,0,1,0,1,0,0,1,1,1,3,"Woman","White / Caucasian",41,0,1,265
0,1,0,0,1,1,1,0,1,1,1,"Man","White / Caucasian",33,1,1,265
0,0,0,0,1,0,1,1,1,1,2,"Man","White / Caucasian",43,1,1,265
1,1,0,0,0,0,1,1,1,1,2,"Man","Black or African American",45,1,0,265
1,1,0,1,1,0,0,0,1,0,2,"Woman","White / Caucasian",32,0,1,265
0,1,0,1,1,1,1,0,1,0,0,"Woman","White / Caucasian",42,0,1,265
0,0,0,0,1,0,1,1,1,1,2,"Woman","White / Caucasian",48,0,1,265
NA,1,1,0,1,1,0,0,1,0,1,"Woman","White / Caucasian",27,0,1,265
NA,1,1,1,0,1,1,0,1,0,1,"Woman","White / Caucasian",54,0,1,265
0,0,0,0,1,0,1,1,1,0,0,"Man","Black or African American",27,1,0,265
NA,1,1,0,1,0,1,1,0,1,3,"Woman","White / Caucasian",39,0,1,265
NA,0,1,0,0,0,1,1,1,1,3,"Woman","White / Caucasian",45,0,1,265
NA,1,1,0,1,0,0,0,1,0,1,"Woman","White / Caucasian",44,0,1,265
NA,0,1,0,1,1,0,0,1,1,3,"Woman","White / Caucasian",35,0,1,265
NA,0,1,0,1,0,1,1,0,1,2,"Woman","Asian / Pacific Islander",46,0,0,265
NA,0,1,0,0,0,1,1,1,1,2,"Man","Black or African American",36,1,0,265
1,0,0,0,1,0,1,0,0,0,0,"Man","White / Caucasian",45,1,1,265
1,1,0,1,1,1,0,0,1,0,1,"Woman","Asian / Pacific Islander",42,0,0,265
NA,0,1,1,0,1,1,0,1,0,1,"Woman","White / Caucasian",49,0,1,265
NA,0,1,0,1,0,0,1,1,1,3,"Woman","White / Caucasian",44,0,1,265
1,0,0,1,0,1,1,0,1,0,2,"Woman","White / Caucasian",32,0,1,265
NA,0,1,1,1,1,0,0,1,0,1,"Man","Asian / Pacific Islander",26,1,0,265
0,0,0,0,1,1,1,0,1,1,2,"Woman","Asian / Pacific Islander",38,0,0,265
1,1,0,1,1,1,1,0,0,0,1,"Man","Black or African American",46,1,0,265
NA,1,1,0,1,0,0,1,1,1,0,"Man","White / Caucasian",45,1,1,265
1,1,0,0,1,0,1,0,0,0,1,"Man","White / Caucasian",28,1,1,265
NA,1,1,0,0,1,1,0,1,1,0,"Woman","White / Caucasian",59,0,1,265
0,0,0,0,1,0,1,1,1,0,3,"Woman","Asian / Pacific Islander",55,0,0,265
NA,1,1,0,1,0,1,1,0,0,3,"Woman","White / Caucasian",34,0,1,265
1,1,0,0,1,1,0,0,1,1,1,"Woman","Asian / Pacific Islander",32,0,0,265
0,0,0,0,1,0,1,1,1,0,0,"Woman","Black or African American",26,0,0,265
0,1,0,0,1,0,1,1,1,0,1,"Woman","Black or African American",39,0,0,265
NA,1,1,0,1,0,1,1,0,0,1,"Woman","Black or African American",49,0,0,265
0,0,0,0,1,0,1,1,1,1,1,"Woman","Asian / Pacific Islander",46,0,0,265
NA,0,1,0,1,0,0,1,1,1,3,"Woman","White / Caucasian",30,0,1,265
1,1,0,0,1,0,1,1,0,0,3,"Woman","White / Caucasian",45,0,1,265
NA,0,1,0,0,0,1,1,1,0,1,"Man","Black or African American",57,1,0,265
1,1,0,1,1,1,0,0,1,0,0,"Woman","White / Caucasian",42,0,1,265
NA,1,1,1,1,1,0,0,1,0,2,"Man","White / Caucasian",37,1,1,265
NA,0,1,0,1,1,0,0,1,0,0,"Man","Asian / Pacific Islander",33,1,0,265
1,0,0,1,0,1,1,0,1,0,0,"Woman","White / Caucasian",23,0,1,265
NA,1,1,0,1,0,1,1,0,0,1,"Man","White / Caucasian",39,1,1,265
1,1,0,0,1,1,1,0,0,0,0,"Man","White / Caucasian",46,1,1,265
0,0,0,0,1,0,1,1,1,1,1,"Woman","White / Caucasian",39,0,1,265
NA,1,1,1,0,1,1,0,1,0,2,"Man","White / Caucasian",42,1,1,265
NA,0,1,0,1,0,0,1,1,0,3,"Man","White / Caucasian",54,1,1,265
1,1,0,1,1,1,0,0,1,0,3,"Man","White / Caucasian",32,1,1,265
NA,0,1,1,1,1,0,0,1,0,2,"Woman","White / Caucasian",28,0,1,265
1,0,0,1,1,1,1,0,0,0,1,"Man","White / Caucasian",34,1,1,265
0,1,0,0,1,0,1,1,1,1,1,"Woman","White / Caucasian",38,0,1,265
0,1,0,0,1,0,1,1,1,0,2,"Man","White / Caucasian",49,1,1,265
0,1,0,0,1,0,1,0,1,0,3,"Woman","Asian / Pacific Islander",51,0,0,265
NA,0,1,0,1,0,1,1,0,0,3,"Woman","White / Caucasian",66,0,1,265
0,0,0,0,1,1,1,0,1,1,1,"Woman","White / Caucasian",40,0,1,265
NA,0,1,1,1,0,1,0,0,0,1,"Woman","Black or African American",70,0,0,265
1,0,0,0,1,1,1,0,0,1,2,"Woman","White / Caucasian",65,0,1,265
0,0,0,0,1,0,1,1,1,1,2,"Man","White / Caucasian",38,1,1,265
NA,1,1,0,0,1,1,0,1,0,0,"Man","White / Caucasian",26,1,1,265
NA,1,1,1,1,0,1,0,0,0,1,"Woman","Black or African American",37,0,0,265
NA,0,1,0,0,1,1,0,1,1,1,"Woman","Hispanic / Latinx",34,0,0,265
NA,1,1,0,0,1,1,0,1,0,1,"Man","White / Caucasian",30,1,1,265
NA,0,1,1,0,1,1,0,1,0,1,"Man","Asian / Pacific Islander",42,1,0,265
0,1,0,0,1,0,1,0,1,0,1,"Man","White / Caucasian",52,1,1,265
NA,1,1,0,0,0,1,0,1,0,3,"Woman","Black or African American",65,0,0,265
1,0,0,0,0,0,1,1,1,1,1,"Man","White / Caucasian",22,1,1,265
0,0,0,0,1,0,1,1,1,0,0,"Man","White / Caucasian",75,1,1,265
1,1,0,0,0,0,1,1,1,1,3,"Woman","White / Caucasian",61,0,1,265
NA,1,1,0,0,1,1,0,1,1,2,"Woman","White / Caucasian",35,0,1,265
0,1,0,0,1,0,1,1,1,1,3,"Woman","Asian / Pacific Islander",24,0,0,265
NA,1,1,1,1,1,1,0,0,0,1,"Woman","White / Caucasian",44,0,1,265
NA,0,1,0,1,0,0,1,1,0,5,"Woman","White / Caucasian",44,0,1,265
1,1,0,0,1,1,0,0,1,0,1,"Woman","White / Caucasian",34,0,1,265
1,0,0,0,1,0,1,1,0,1,0,"Man","White / Caucasian",45,1,1,265
0,0,0,0,1,0,1,1,1,0,0,"Man","Hispanic / Latinx",30,1,0,265
NA,0,1,0,1,0,0,1,1,0,1,"Man","Black or African American",42,1,0,265
NA,1,1,0,1,0,1,1,0,1,2,"Man","Hispanic / Latinx",35,1,0,265
NA,0,1,1,1,1,0,0,1,0,2,"Man","White / Caucasian",48,1,1,265
1,0,0,0,1,0,1,1,0,0,1,"Non-binary","Hispanic / Latinx",25,0,0,265
NA,0,1,0,0,1,1,0,1,1,2,"Woman","White / Caucasian",65,0,1,265
1,1,0,0,0,0,1,0,1,0,0,"Man","White / Caucasian",39,1,1,265
0,1,0,0,1,0,1,1,1,1,1,"Man","White / Caucasian",23,1,1,265
NA,1,1,0,0,0,1,1,1,1,0,"Man","Black or African American",38,1,0,265
NA,1,1,0,0,0,1,1,1,1,0,"Man","White / Caucasian",63,1,1,265
NA,1,1,0,1,0,0,1,1,0,3,"Woman","White / Caucasian",31,0,1,265
NA,0,1,1,0,0,1,0,1,0,2,"Woman","Black or African American",41,0,0,265
1,0,0,0,1,0,1,1,0,0,0,"Man","White / Caucasian",38,1,1,265
NA,1,1,0,1,1,1,0,0,0,1,"Man","White / Caucasian",50,1,1,265
1,1,0,0,1,1,1,0,0,1,3,"Woman","Black or African American",33,0,0,265
NA,0,1,0,1,1,0,0,1,1,0,"Woman","Asian / Pacific Islander",32,0,0,265
NA,1,1,0,0,0,1,1,1,1,1,"Man","White / Caucasian",27,1,1,265
0,0,0,1,1,1,1,0,1,0,1,"Woman","Black or African American",36,0,0,265
NA,0,1,1,1,1,1,0,0,0,1,"Woman","Hispanic / Latinx",37,0,0,265
1,1,0,1,0,0,1,0,1,0,1,"Man","Black or African American",23,1,0,265
1,1,0,0,1,1,1,0,0,1,1,"Woman","Asian / Pacific Islander",47,0,0,265
0,0,0,1,1,1,1,0,1,0,2,"Woman","Asian / Pacific Islander",27,0,0,265
NA,0,1,0,0,1,1,0,1,0,1,"Woman","White / Caucasian",37,0,1,265
NA,1,1,1,1,1,0,0,1,0,0,"Man","White / Caucasian",42,1,1,265
0,0,0,0,1,1,1,0,1,1,3,"Woman","Black or African American",34,0,0,265
NA,0,1,1,1,0,1,0,0,0,0,"Man","White / Caucasian",68,1,1,265
1,0,0,1,1,0,0,0,1,0,0,"Man","White / Caucasian",30,1,1,265
1,0,0,0,1,0,1,1,0,0,2,"Woman","White / Caucasian",37,0,1,265
1,0,0,1,1,1,1,0,0,0,0,"Woman","White / Caucasian",40,0,1,265
0,1,0,1,1,1,1,0,1,0,0,"Woman","White / Caucasian",31,0,1,265
1,0,0,0,1,0,0,0,1,0,0,"Man","White / Caucasian",33,1,1,265
0,1,0,0,1,0,1,1,1,1,1,"Man","White / Caucasian",43,1,1,265
NA,1,1,0,1,0,1,1,0,0,0,"Woman","White / Caucasian",48,0,1,265
NA,0,1,0,1,0,1,1,0,1,3,"Man","White / Caucasian",41,1,1,265
NA,0,1,0,0,1,1,0,1,1,0,"Woman","Black or African American",36,0,0,265
0,1,0,1,1,1,1,0,1,0,1,"Woman","Asian / Pacific Islander",41,0,0,265
NA,0,1,0,1,0,0,0,1,0,0,"Man","White / Caucasian",36,1,1,265
NA,1,1,1,1,1,1,0,0,0,1,"Woman","White / Caucasian",25,0,1,265
0,1,0,0,1,0,1,1,1,1,0,"Man","White / Caucasian",61,1,1,265
NA,1,1,1,1,0,0,0,1,0,1,"Woman","White / Caucasian",39,0,1,265
1,1,0,0,1,1,0,0,1,1,1,"Woman","White / Caucasian",54,0,1,265
NA,0,1,0,1,0,0,1,1,1,1,"Man","American Indian or Alaskan Native",46,1,0,265
0,0,0,0,1,0,1,1,1,1,2,"Woman","White / Caucasian",33,0,1,265
NA,1,1,1,1,1,0,0,1,0,0,"Woman","White / Caucasian",29,0,1,265
NA,0,1,0,0,1,1,0,1,1,1,"Woman","Hispanic / Latinx",27,0,0,265
1,0,0,0,1,1,1,0,0,1,0,"Woman","Hispanic / Latinx",35,0,0,265
1,0,0,0,0,1,1,0,1,1,1,"Man","White / Caucasian",48,1,1,265
0,1,0,0,1,0,1,1,1,1,2,"Man","White / Caucasian",44,1,1,265
NA,1,1,1,1,1,1,0,0,0,2,"Non-binary","American Indian or Alaskan Native",24,0,0,265
1,1,0,0,1,1,0,0,1,1,0,"Man","White / Caucasian",32,1,1,265
NA,0,1,0,0,0,1,1,1,1,1,"Man","White / Caucasian",35,1,1,265
0,1,0,1,1,1,1,0,1,0,2,"Man","White / Caucasian",33,1,1,265
NA,0,1,0,0,0,1,1,1,0,2,"Man","White / Caucasian",46,1,1,265
1,0,0,0,1,0,0,1,1,1,2,"Man","Black or African American",37,1,0,265
NA,1,1,0,1,0,1,1,0,1,3,"Woman","White / Caucasian",41,0,1,265
NA,0,1,1,1,1,1,0,0,0,1,"Man","White / Caucasian",50,1,1,265
0,1,0,0,1,1,1,0,1,1,3,"Woman","White / Caucasian",28,0,1,265
NA,1,1,1,0,0,1,0,1,0,2,"Woman","Asian / Pacific Islander",33,0,0,265
0,0,0,1,1,1,1,0,1,0,2,"Man","White / Caucasian",50,1,1,265
0,0,0,0,1,0,1,1,1,1,1,"Woman","Asian / Pacific Islander",29,0,0,265
NA,0,1,0,1,1,1,0,0,1,4,"Woman","White / Caucasian",37,0,1,265
NA,1,1,0,0,0,1,1,1,0,1,"Woman","White / Caucasian",26,0,1,265
NA,0,1,1,0,1,1,0,1,0,1,"Woman","White / Caucasian",20,0,1,265
0,1,0,1,1,1,1,0,1,0,1,"Man","White / Caucasian",37,1,1,265
NA,0,1,0,1,0,0,1,1,1,1,"Man","White / Caucasian",29,1,1,265
NA,0,1,1,1,1,0,0,1,0,0,"Woman","White / Caucasian",21,0,1,265
0,0,0,0,1,0,1,1,1,0,0,"Man","Asian / Pacific Islander",26,1,0,265
1,0,0,0,0,1,1,0,1,0,2,"Woman","Hispanic / Latinx",25,0,0,265
1,0,0,0,1,1,1,0,0,1,2,"Woman","White / Caucasian",56,0,1,265
NA,1,1,1,0,0,1,0,1,0,2,"Woman","White / Caucasian",30,0,1,265
0,1,0,1,1,1,1,0,1,0,3,"Woman","White / Caucasian",35,0,1,265
0,1,0,1,1,1,1,0,1,0,2,"Woman","White / Caucasian",38,0,1,265
1,1,0,0,1,0,0,1,1,1,1,"Woman","White / Caucasian",70,0,1,265
NA,1,1,0,0,1,1,0,1,0,0,"Man","Black or African American",30,1,0,265
1,0,0,0,0,0,1,1,1,1,3,"Woman","White / Caucasian",66,0,1,265
NA,1,1,1,0,0,1,0,1,0,0,"Man","Hispanic / Latinx",21,1,0,265
NA,0,1,1,1,0,1,0,0,0,0,"Man","White / Caucasian",42,1,1,265
NA,0,1,1,1,0,1,0,0,0,1,"Woman","White / Caucasian",25,0,1,265
1,1,0,0,0,1,1,0,1,1,2,"Woman","White / Caucasian",29,0,1,265
NA,1,1,0,0,0,1,1,1,0,1,"Woman","White / Caucasian",64,0,1,265
0,0,0,0,1,1,1,0,1,1,1,"Man","White / Caucasian",43,1,1,265
NA,1,1,0,0,0,1,1,1,1,1,"Woman","White / Caucasian",35,0,1,265
0,1,0,1,1,1,1,0,1,0,2,"Another gender not listed here:","White / Caucasian",38,0,1,265
NA,1,1,1,1,0,1,0,0,0,0,"Woman","Black or African American",28,0,0,265
1,0,0,0,1,0,0,1,1,0,3,"Man","White / Caucasian",59,1,1,265
NA,1,1,1,1,1,1,0,0,0,1,"Woman","White / Caucasian",32,0,1,265
NA,0,1,0,1,0,1,1,0,1,1,"Woman","White / Caucasian",54,0,1,265
0,0,0,1,1,1,1,0,1,0,3,"Another gender not listed here:","White / Caucasian",44,0,1,265
0,1,0,1,1,1,1,0,1,0,2,"Man","White / Caucasian",65,1,1,265
NA,0,1,0,1,1,0,0,1,1,1,"Man","White / Caucasian",49,1,1,265
NA,0,1,0,1,0,1,1,0,1,2,"Woman","White / Caucasian",41,0,1,265
0,0,0,0,1,0,1,1,1,0,0,"Man","White / Caucasian",66,1,1,265
1,1,0,0,1,0,1,1,0,1,2,"Woman","White / Caucasian",35,0,1,265
NA,1,1,1,0,1,1,0,1,0,2,"Man","White / Caucasian",24,1,1,265
NA,0,1,0,1,0,0,1,1,0,2,"Man","White / Caucasian",29,1,1,265
1,1,0,0,0,0,1,1,1,0,0,"Man","White / Caucasian",40,1,1,265
1,0,0,0,0,0,1,0,1,0,1,"Man","Black or African American",36,1,0,265
NA,1,1,1,1,1,0,0,1,0,2,"Woman","Asian / Pacific Islander",58,0,0,265
0,1,0,0,1,0,1,0,1,0,1,"Man","Hispanic / Latinx",28,1,0,265
1,0,0,1,1,1,1,0,0,0,3,"Woman","White / Caucasian",40,0,1,265
NA,0,1,0,0,0,1,1,1,1,2,"Woman","Black or African American",66,0,0,265
0,0,0,0,1,0,1,0,1,0,2,"Woman","White / Caucasian",69,0,1,265
0,1,0,0,1,0,1,1,1,1,0,"Man","White / Caucasian",67,1,1,265
NA,1,1,1,1,1,1,0,0,0,2,"Woman","Hispanic / Latinx",44,0,0,265
1,0,0,1,1,0,0,0,1,0,3,"Woman","White / Caucasian",29,0,1,265
NA,1,1,1,1,1,1,0,0,0,0,"Man","White / Caucasian",59,1,1,265
NA,1,1,1,0,1,1,0,1,0,1,"Man","White / Caucasian",22,1,1,265
NA,1,1,1,1,1,1,0,0,0,0,"Woman","White / Caucasian",21,0,1,265
NA,0,1,1,1,1,1,0,0,0,2,"Woman","Hispanic / Latinx",27,0,0,265
0,0,0,0,1,1,1,0,1,1,4,"Woman","White / Caucasian",44,0,1,265
0,1,0,0,1,1,1,0,1,1,1,"Woman","White / Caucasian",32,0,1,265
