date,name,episode_role,gender,age_bracket,affiliation_type,affiliation_specific,us_region,lookup_note
2026-05-08,Sandeep Jauhar,cardiologist,M,50+,Medical,Long Island Jewish Medical Center (Northwell),East Coast,Wikipedia + Northwell page
2026-05-08,Jeannie Suk Gersen,law professor,F,50+,University,Harvard Law School,East Coast,Wikipedia + HLS faculty page
2026-05-08,Hui-wen Sato,pediatric nurse,F,unknown,Medical,Children's Hospital Los Angeles,West Coast,"End Well, AJN bios"
2026-05-01,Eric Topol,Physician,M,50+,Medical,Scripps Research / Scripps Clinic,West Coast,Wikipedia
2026-04-24,CM Ralph,game designer,NB,50+,Author-independent,self-employed artist / hobbyist game designer,unknown,"Paste Magazine interview, NPR, Wikipedia"
2026-04-24,Brewster Kayle,digital librarian,M,50+,NGO,Internet Archive (founder),West Coast,Wikipedia (Brewster Kahle)
2026-04-24,Dina Zielinksi,molecular biologist,F,20-49,University,"Inserm / Sorbonne (Paris), formerly NY Genome Center",International,personal site + NPR
2026-04-24,Chris Fisher,archeologist,M,50+,University,Colorado State University,Mountain West,CSU faculty page + Wikipedia
2026-04-10,Sarah Lake,food systems expert,F,20-49,NGO,Tilt Collective (CEO),unknown,WRI profile + Tilt Collective bio
2026-04-10,Deb Chachra,infrastructure engineer,F,50+,University,Olin College of Engineering,East Coast,Olin bio + Wikipedia
2026-04-10,Michele Gelfand,cross-cultural psychologist,F,50+,University,Stanford GSB,West Coast,Wikipedia + Stanford GSB page
2026-04-10,Jeff Speck,urban planner,M,50+,Industry,Speck Dempsey (planning consultancy),East Coast,Wikipedia
2026-04-10,Ignacio Delgadillo,Tempe resident,M,unknown,Other,private citizen (Tempe AZ resident),Mountain West,NPR transcript / Spokeo
2026-04-03,Tom Gruber,Siri co-creator,M,50+,Author-independent,self-employed / advisor (retired Apple),West Coast,Wikipedia + tomgruber.org
2026-03-27,Ethan Kross,neuroscientist,M,20-49,University,University of Michigan,Midwest,Michigan Ross + Wikipedia
2026-03-20,Alex Rosenthal,the editorial director of TED-Ed animations,M,20-49,Industry,TED-Ed (TED Conferences),East Coast,TED speaker page + LinkedIn
2026-03-20,John Wixted,psychologist,M,50+,University,UC San Diego,West Coast,UCSD faculty page
2026-03-20,Francesca Hogi,love coach,F,50+,Author-independent,self-employed coach (True Love Society),West Coast,personal site + Voyage LA
2026-03-13,Philip Johns,evolutionary biologist,M,50+,University,Yale-NUS College (closed 2025) / NUS,International,Yale-NUS faculty page
2026-03-13,Avi Loeb,astrophysicist,M,50+,University,Harvard University,East Coast,Wikipedia
2026-03-13,Laurel Braitman,author,F,20-49,University,Stanford School of Medicine (Director of Writing & Storytelling),West Coast,personal site + Simon & Schuster
2026-03-06,Alex Carter,law professor,F,20-49,University,Columbia Law School,East Coast,Columbia Law + Wikipedia
2026-03-06,Magdalena Hoeller,linguist,F,20-49,Industry,Kaplan (teaching director),International,TED + NPR transcripts
2026-02-27,Anna Malaika Tubbs,author,F,20-49,Author-independent,self-employed author,unknown,personal site + NPR
2026-02-20,Jonathan Haidt,social psychologist,M,50+,University,NYU Stern School of Business,East Coast,Wikipedia
2026-02-20,Maximilian Milovidov,youth online safety activist,M,20-49,NGO,5Rights Foundation / TikTok Youth Council,East Coast,LinkedIn + RD4C
2026-02-20,Catherine Price,author,F,20-49,Author-independent,self-employed author / Screen/Life Balance founder,East Coast,publisher page + personal site
2026-02-13,David Suh,portrait photographer,M,20-49,Author-independent,self-employed photographer / content creator,West Coast,UC Davis Magazine
2026-02-13,Dolly Chugh,social psychologist,F,50+,University,NYU Stern School of Business,East Coast,NYU Stern bio
2026-02-13,Elise Hu,journalist,F,20-49,Journalist,NPR host-at-large / TED Talks Daily,West Coast,Wikipedia
2026-02-13,Anil Ananthaswamy,science writer,M,50+,Journalist,"freelance science journalist (Quanta, SciAm, etc.)",West Coast,Wikipedia
2026-02-06,Aqeela Sherrills,peace activists,M,50+,NGO,Community Based Public Safety Collective,West Coast,Awakin + CSUN press
2026-02-06,Abu Sarah,Aziz,M,20-49,Industry,MEJDI Tours co-founder,International,Wikipedia (Aziz Abu Sarah)
2026-01-30,Pau Aleikum Garcia,technologist,M,20-49,Industry,Domestic Data Streamers (founder),International,MWC Barcelona + studio site
2026-01-30,Amy Kurzweil,cartoonist,F,20-49,Author-independent,self-employed cartoonist (New Yorker),East Coast,Wikipedia
2026-01-30,Chance Coughenour,digital archaeologist,M,20-49,Industry,Google Arts & Culture (head of preservation),International,Google Scholar + LinkedIn
2026-01-23,Matt Pitcher,financial advisor,M,50+,Industry,Altor Wealth (founder),International,Altor Wealth + NPR
2026-01-23,Anindya Kundu,sociologist,M,20-49,University,Florida International University,South,FIU directory + TED bio
2026-01-23,Jennifer Wallace,journalist,F,50+,Journalist,"freelance journalist (Washington Post, WSJ contributor)",East Coast,personal site + Penguin Random House
2026-01-23,Bill Burnett,design thinking professor,M,50+,University,Stanford University (Design Program),West Coast,Stanford Online bio
2026-01-16,Greg Gage,neuroscientist,M,20-49,Industry,Backyard Brains (co-founder/CEO),Midwest,LinkedIn + Backyard Brains site
2026-01-16,Frances Chance,computational neuroscientist,F,50+,Government,Sandia National Laboratories,Mountain West,Sandia LabNews + TED
2026-01-16,Keely Muscatell,social psychoneuroimmunologist,F,20-49,University,UNC Chapel Hill,South,UNC Lineberger + CV
2026-01-16,Karen Bakker,environmental researcher,F,50+,University,University of British Columbia (deceased 2023),International,Wikipedia + UBC memorial
2026-01-09,Robert Green,researcher,M,50+,Medical,Brigham and Women's Hospital / Harvard Medical School,East Coast,Wikipedia
2026-01-02,Matt Wilson,former medical clown,M,20-49,Industry,Bank of America (global tech analyst); formerly TED Resident / medical clown,East Coast,TED speaker page + NYU Tisch alumni profile
2026-01-02,Jamil Zaki,psychologist,M,20-49,University,Stanford (Professor of Psychology),West Coast,Stanford psychology faculty page
2026-01-02,Yifat Susskind,human rights activist,F,50+,NGO,MADRE (Executive Director),East Coast,MADRE bio PDF + Lilith magazine
2025-12-26,Rhaina Cohen,journalist,F,20-49,Journalist,NPR Embedded producer/editor; author,East Coast,NPR people page
2025-12-26,Stephanie Yates-Anyabwile,family therapist,F,20-49,Medical,"LMFT private practice / CHRIS180, Decatur GA",South,LinkedIn + Healthgrades
2025-12-26,Bella DePaulo,social psychologist,F,50+,University,"UC Santa Barbara (academic affiliate, Psychological and Brain Sciences)",West Coast,BellaDePaulo.com about page
2025-12-19,Alvin Wang Graylin,tech entrepreneur,M,50+,Industry,HTC (former Global VP/China President of VR); author; Stanford HAI Digital Fellow,International,UW ECE Advisory Board + Crunchbase
2025-12-19,John Ruwitch,NPR tech reporter,M,50+,Journalist,"NPR (Tech correspondent, Business Desk)",West Coast,NPR Extra announcement
2025-12-19,Chris Anderson,OpenAI CEO Sam Altman in conversation with TED's,M,50+,NGO,TED (head/curator; transitioning vision steward role),East Coast,Wikipedia
2025-12-12,Scarlet Keys,professor of songwriting,F,50+,University,Berklee College of Music (Professor of Songwriting),East Coast,Berklee faculty page
2025-12-12,Rebecca Kleinberger,voice expert,F,20-49,University,"Northeastern University (Asst. Prof, Humanics and Voice Technology)",East Coast,Northeastern faculty experts page
2025-12-12,Snow Raven,musician,F,20-49,Other,Independent Indigenous Sakha musician/producer (OLOX),International,Esalen faculty bio + Wikifamouspeople
2025-11-14,Adam Aleksic,linguist,M,20-49,Author-independent,"Etymology Nerd content creator/author (Algospeak, 2025)",East Coast,Wikipedia
2025-10-31,Bradley Tusk,political consultant,M,50+,Industry,Tusk Ventures / Tusk Strategies (founder & CEO),East Coast,Wikipedia
2025-10-31,Jennifer Pahlka,political advisor,F,50+,NGO,Niskanen Center / Federation of American Scientists senior fellow; Code for America founder,West Coast,Wikipedia
2025-10-31,Anna Piperal,e-governance expert,F,20-49,Government,e-Estonia ambassador/former managing director,International,TED speaker page + AAE bio
2025-10-24,Dana Gunders,food waste expert,F,20-49,NGO,ReFED (Executive Director),West Coast,ReFED team page + LinkedIn
2025-10-24,Jasmine Crowe-Houston,social entrepreneur,F,20-49,Industry,Goodr (Founder & CEO),South,Goodr Our Story + LinkedIn
2025-10-24,Anthony Myint,sustainability activist,M,20-49,NGO,Zero Foodprint (Executive Director / co-founder),West Coast,Carleton alumni council + Zero Foodprint team
2025-10-24,Jiaying Zhao,behavioral scientist,F,20-49,University,University of British Columbia (Professor of Psychology),International,UBC psychology profile
2025-10-03,Hilke Schellmann,Journalist,F,20-49,Journalist,NYU Journalism associate professor; WSJ/Guardian contributor; author of The Algorithm,East Coast,NYU Digital Humanities project page
2025-09-19,Reggie Watts,musician,M,50+,Industry,Independent musician/comedian (formerly bandleader Late Late Show with James Corden),West Coast,Wikipedia
2025-09-19,Sonia Vallabh,biomedical researcher,F,20-49,University,Broad Institute of MIT and Harvard,East Coast,Broad Institute bio + Wikipedia
2025-09-19,Kristine McDivitt Tompkins,conservationist,F,50+,NGO,Tompkins Conservation (President & Co-founder),International,Wikipedia
2025-09-05,Lisa Damour,psychologist,F,50+,Medical,Private clinical psychology practice; author; podcast host,Midwest,Wikipedia + Shaker Life Q&A
2025-08-22,Kelly Corrigan,podcaster,F,50+,Journalist,Host of PBS Tell Me More and Kelly Corrigan Wonders podcast; author,West Coast,Wikipedia
2025-08-22,Allison Gilbert,journalist,F,50+,Author-independent,Independent author/journalist (six books incl. The Joy of Connections w/ Ruth Westheimer),East Coast,Wikipedia + author site
2025-08-15,Shane Campbell-Staton,evolutionary biologist,M,20-49,University,"Princeton (Asst. Professor, Ecology and Evolutionary Biology)",East Coast,Princeton EEB faculty + Wikipedia
2025-08-15,Garry Cooper,entrepreneur,M,20-49,Industry,Rheaply (CEO & co-founder),Midwest,Wikipedia + Rheaply leadership
2025-08-15,Anika Goss,urban renewal expert,F,50+,NGO,Detroit Future City (CEO),Midwest,Detroit Future City team + Detroit Regional Chamber bio
2025-08-15,Alysa McCall,conservationist,F,20-49,NGO,Polar Bears International (Director of Conservation Outreach & Staff Scientist),International,PBI team + Mongabay interview
2025-08-08,Katherine Kuchenbecker,mechanical engineer,F,20-49,University,"Max Planck Institute for Intelligent Systems (Director, Haptic Intelligence)",International,MPI-IS page + Wikipedia
2025-08-08,Anna Maria Coclite,materials scientist,F,20-49,University,University of Bari (full professor of physics); formerly TU Graz,International,AnnaCoclite.com bio + TU Graz news
2025-08-08,Lee Thomas,TV broadcaster,M,50+,Journalist,WJBK Fox 2 Detroit (entertainment reporter/anchor),Midwest,Wikipedia
2025-08-08,Kathryn Schulz,author,F,20-49,Journalist,The New Yorker (staff writer),East Coast,Wikipedia
2025-08-01,Doree Shafrir,writer,F,20-49,Author-independent,Independent author/podcaster (Forever35 podcast),West Coast,Doree-shafrir.com about + book bio
2025-08-01,Ashton Applewhite,anti-ageism activist,F,50+,Author-independent,Independent author/activist (This Chair Rocks),East Coast,Wikipedia + Hamilton College alumni news
2025-08-01,Riley Moynes,retired educator,M,50+,Author-independent,Independent author/speaker (The Four Phases of Retirement),International,TED speaker page + retirement podcast bios
2025-07-04,Machine Dazzle,designer,M,50+,Author-independent,Independent costume/set designer & performance artist (Taylor Mac collaborator),East Coast,Wikipedia
2025-07-04,Aparna Mehta,supply chain expert,F,20-49,Industry,UPS (Global Solutions Director); coach,South,LinkedIn + All American Speakers bio
2025-07-04,Amanda Mull,journalist,F,20-49,Journalist,"Bloomberg Businessweek (Senior Reporter, Buying Power column)",East Coast,LinkedIn + Bloomberg author page
2025-07-04,Cameron Russell,supermodel,F,20-49,Industry,Independent model/activist (Model Mafia co-founder); author,East Coast,Wikipedia
2025-06-27,Agnieszka Pilat,artists,F,20-49,Author-independent,Independent contemporary artist (technology portraits),West Coast,Artnet profile + NGV Triennial bio
2025-06-27,Franziska Trautmann,chemical engineer,F,20-49,Industry,Glass Half Full (Founder & CEO),South,Tulane stories + Newcomb 30 Under 30
2025-06-27,Mike Posner,musician,M,20-49,Industry,Independent recording artist/singer-songwriter,Midwest,Wikipedia
2025-06-20,Dean Lomax,paleontologist,M,20-49,University,Univ. of Manchester / Univ. of Bristol,International,Wikipedia / Manchester faculty page
2025-06-20,Saad Bhamla,biochemical engineer,M,20-49,University,Georgia Tech,South,Georgia Tech ChBE directory
2025-06-20,Gowri Shankar,herpetologist,M,unknown,NGO,Kalinga Centre for Rainforest Ecology,International,Roundglass Sustain profile / NPR
2025-06-13,Pico Iyer,author,M,50+,Author-independent,"Independent author; based Nara, Japan",International,Wikipedia
2025-06-13,Sarah Edmondson,NXIVM whistleblower,F,20-49,Other,"Canadian actress/podcaster, ex-NXIVM",International,Wikipedia
2025-06-13,Lehua Kamalu,navigator,F,unknown,NGO,Polynesian Voyaging Society,unknown,Hokulea / Polynesian Voyaging Society bio
2025-06-13,Shonda Rhimes,screenwriter,F,50+,Industry,Shondaland (production company),West Coast,Wikipedia
2025-06-06,Abby Wambach,former professional soccer player,F,20-49,Author-independent,Retired athlete / author / speaker,West Coast,Wikipedia
2025-06-06,Sian Leah Beilock,cognitive scientist,F,20-49,University,"President, Dartmouth College",East Coast,Wikipedia / Dartmouth president page
2025-06-06,Kate Fagan,journalist,F,20-49,Journalist,Author/former ESPN reporter,East Coast,Wikipedia
2025-06-06,Sarah Lewis,art historian,F,20-49,University,Harvard University,East Coast,Harvard HAA faculty page / Wikipedia
2025-05-23,Hajer Sharief,activist,F,20-49,NGO,Together We Build It (Libya),International,Wikipedia
2025-05-23,Amy Edmondson,social psychologist,F,50+,University,Harvard Business School,East Coast,Wikipedia / Prabook
2025-05-23,Pete Stavros,private equity investor,M,50+,Industry,KKR (Co-Head of Global PE),East Coast,Wikipedia / KKR bio
2025-05-16,Katie Paterson,artist,F,20-49,Other,Independent visual artist,International,Wikipedia
2025-05-16,Irena Arslanova,cognitive neuroscientist,F,20-49,University,"Royal Holloway, University of London",International,TED speaker page / Royal Holloway
2025-05-16,Robert Franz,music director,M,50+,Other,UNCSA Symphony / Windsor Symphony / Boise Baroque,South,Symphony obituary / UNCSA
2025-05-16,Philip Zimbardo,the late-psychologist,M,50+,University,Stanford University (emeritus),West Coast,Wikipedia / Stanford
2025-04-25,Ty Tashiro,social scientist,M,unknown,Author-independent,Writer/speaker/consultant; lives NYC,East Coast,tytashiro.com / Wikipedia
2025-04-25,Liana Finck,cartoonist,F,20-49,Journalist,New Yorker cartoonist,East Coast,Wikipedia / Famous Birthdays
2025-04-25,Melissa Dahl,journalist,F,unknown,Journalist,"Senior editor, New York Magazine / The Cut",East Coast,Penguin author page / interview
2025-04-25,Erin Chen,relationship counselor,F,unknown,Industry,"Founder, Lila Sutra / Gilly (Singapore)",International,ExpatLiving SG / Vanilla Luxury interview
2025-04-18,Cell Atlas Aviv Regev,co-founder of the Human,F,50+,Industry,"EVP, Genentech Research & Early Development (Roche)",West Coast,Wikipedia / Roche bio (note: input name field appears mis-split from role)
2025-04-18,Brad Ringeisen,physical chemist,M,unknown,University,"Executive Director, Innovative Genomics Institute (UC Berkeley)",West Coast,IGI faculty page
2025-04-18,Aaron Morris,immunoengineer,M,20-49,University,University of Michigan (BME),Midwest,UMich BME page / TED Fellow
2025-03-28,Kat Naud,equestrian,F,unknown,Other,A&T Equestrian (BC); author,International,NPR transcript / TEDx UNBSaintJohn
2025-03-28,Amy Baxter,researcher,F,50+,Industry,Pain Care Labs / MMJ Labs (CEO),South,Wikipedia / Pain Care Labs
2025-03-28,Cammie Wolf Rice,opioid reform advocate,F,50+,NGO,Christopher Wolf Crusade (founder),South,AJC / Partnership to End Addiction
2025-03-14,Gregory Heyworth,textual scientist,M,unknown,University,University of Rochester,East Coast,U. Rochester English faculty
2025-03-14,Ralph Chami,economist,M,50+,Government,IMF Institute for Capacity Development (Asst. Director),East Coast,IMF profile / Medium interview
2025-02-28,Noah Wilson-Rich,beekeeper,M,20-49,Industry,"Founder, The Best Bees Company",East Coast,Wikipedia / Best Bees About page
2025-02-28,Carin Bondar,biologist,F,50+,Other,TV host / writer; adjunct U. Fraser Valley,International,Wikipedia
2025-02-28,Marlene Zuk,behavioral ecologist,F,50+,University,University of Minnesota,Midwest,Wikipedia / UMN CBS
2025-02-28,Julia Sweeney,comedian,F,50+,Other,Actress/comedian/writer,Midwest,Wikipedia
2025-02-14,Joseph McGill Jr,author,M,50+,NGO,"Founder, The Slave Dwelling Project",South,Slave Dwelling Project site / NPR
2025-01-31,Anne Madden,microbiologist,F,20-49,Industry,"Founder, The Microbe Institute; CSO Lachancea LLC",East Coast,Wikipedia / anneamadden.com
2025-01-31,Lera Boroditsky,cognitive scientist,F,20-49,University,UC San Diego (Cognitive Science),West Coast,Wikipedia / UCSD profile
2025-01-31,YeYoon Kim,former educator,F,unknown,Industry,Project Management Institute (Asia Pacific),International,TED speaker page / Convening Leaders
2025-01-31,Bart Weetjens,Zen Buddhist monk,M,50+,NGO,"Founder, APOPO (HeroRATs)",International,APOPO history / Ashoka
2025-01-17,Nita Farahany,AI ethicist,F,20-49,University,Duke University School of Law,South,Duke Law faculty / Wikipedia
2025-01-17,Conor Russomanno,entrepreneur,M,20-49,Industry,"Co-founder/CEO, OpenBCI",East Coast,Wikipedia / OpenBCI
2025-01-17,Kate Faulkner,sous chef,F,20-49,Other,Sous chef (Colorado ski area),Mountain West,NPR transcript
2025-01-03,Ariana Curtis,museum curator,F,unknown,Government,Smithsonian NMAAHC (Curator of Latinx Studies),East Coast,Smithsonian Profiles / LinkedIn
2025-01-03,Alexis Charpentier,music curator,M,unknown,Other,"Founder, Music Is My Sanctuary; PHI Center programmer",International,TED speaker page / Chromatic Pro
