id,date,name,role_in_episode,episode_title,gender,age_bracket,affiliation_type,us_region
1,2026-05-08,Sandeep Jauhar,cardiologist,How to mend a broken heart,,,,
2,2026-05-08,Jeannie Suk Gersen,law professor,How to mend a broken heart,,,,
3,2026-05-08,Hui-wen Sato,pediatric nurse,How to mend a broken heart,,,,
4,2026-05-01,Eric Topol,Physician,"How to be a ""Super Ager"" (it's not your genes)",,,,
5,2026-04-24,CM Ralph,game designer,Can we preserve knowledge … forever?,,,,
6,2026-04-24,Brewster Kayle,digital librarian,Can we preserve knowledge … forever?,,,,
7,2026-04-24,Dina Zielinksi,molecular biologist,Can we preserve knowledge … forever?,,,,
8,2026-04-24,Chris Fisher,archeologist,Can we preserve knowledge … forever?,,,,
9,2026-04-10,Sarah Lake,food systems expert,The hidden forces shaping your choices,,,,
10,2026-04-10,Deb Chachra,infrastructure engineer,The hidden forces shaping your choices,,,,
11,2026-04-10,Michele Gelfand,cross-cultural psychologist,The hidden forces shaping your choices,,,,
12,2026-04-10,Jeff Speck,urban planner,The hidden forces shaping your choices,,,,
13,2026-04-10,Ignacio Delgadillo,Tempe resident,The hidden forces shaping your choices,,,,
14,2026-04-03,Tom Gruber,Siri co-creator,"Could AI help us, not replace us?",,,,
15,2026-03-27,Ethan Kross,neuroscientist,A neuroscientist's guide to managing our emotions,,,,
16,2026-03-20,Alex Rosenthal,the editorial director of TED-Ed animations,How does your brain perceive the world?,,,,
17,2026-03-20,John Wixted,psychologist,How does your brain perceive the world?,,,,
18,2026-03-20,Francesca Hogi,love coach,How does your brain perceive the world?,,,,
19,2026-03-13,Philip Johns,evolutionary biologist,Curious stories of coexistence,,,,
20,2026-03-13,Avi Loeb,astrophysicist,Curious stories of coexistence,,,,
21,2026-03-13,Laurel Braitman,author,Curious stories of coexistence,,,,
22,2026-03-06,Alex Carter,law professor,Getting what you want: A guide to negotiating,,,,
23,2026-03-06,Magdalena Hoeller,linguist,Getting what you want: A guide to negotiating,,,,
24,2026-02-27,Anna Malaika Tubbs,author,Three mothers who shaped American history,,,,
25,2026-02-20,Jonathan Haidt,social psychologist,Did social media break a generation — or just change it?,,,,
26,2026-02-20,Maximilian Milovidov,youth online safety activist,Did social media break a generation — or just change it?,,,,
27,2026-02-20,Catherine Price,author,Did social media break a generation — or just change it?,,,,
28,2026-02-13,David Suh,portrait photographer,How you see yourself,,,,
29,2026-02-13,Dolly Chugh,social psychologist,How you see yourself,,,,
30,2026-02-13,Elise Hu,journalist,How you see yourself,,,,
31,2026-02-13,Anil Ananthaswamy,science writer,How you see yourself,,,,
32,2026-02-06,Aqeela Sherrills,peace activists,How to talk about peace,,,,
33,2026-02-06,Abu Sarah,Aziz,How to talk about peace,,,,
34,2026-01-30,Pau Aleikum Garcia,technologist,The future of our memories,,,,
35,2026-01-30,Amy Kurzweil,cartoonist,The future of our memories,,,,
36,2026-01-30,Chance Coughenour,digital archaeologist,The future of our memories,,,,
37,2026-01-23,Matt Pitcher,financial advisor,What can you control in this chaotic world?,,,,
38,2026-01-23,Anindya Kundu,sociologist,What can you control in this chaotic world?,,,,
39,2026-01-23,Jennifer Wallace,journalist,What can you control in this chaotic world?,,,,
40,2026-01-23,Bill Burnett,design thinking professor,What can you control in this chaotic world?,,,,
41,2026-01-16,Greg Gage,neuroscientist,What we — and AI — can learn from nature's intelligence,,,,
42,2026-01-16,Frances Chance,computational neuroscientist,What we — and AI — can learn from nature's intelligence,,,,
43,2026-01-16,Keely Muscatell,social psychoneuroimmunologist,What we — and AI — can learn from nature's intelligence,,,,
44,2026-01-16,Karen Bakker,environmental researcher,What we — and AI — can learn from nature's intelligence,,,,
45,2026-01-09,Robert Green,researcher,The secrets in your baby's genes,,,,
46,2026-01-02,Matt Wilson,former medical clown,Navigating uncertainty,,,,
47,2026-01-02,Jamil Zaki,psychologist,Navigating uncertainty,,,,
48,2026-01-02,Yifat Susskind,human rights activist,Navigating uncertainty,,,,
49,2025-12-26,Rhaina Cohen,journalist,Who counts as a significant other?,,,,
50,2025-12-26,Stephanie Yates-Anyabwile,family therapist,Who counts as a significant other?,,,,
51,2025-12-26,Bella DePaulo,social psychologist,Who counts as a significant other?,,,,
52,2025-12-19,Alvin Wang Graylin,tech entrepreneur,Who is really shaping the future of AI?,,,,
53,2025-12-19,John Ruwitch,NPR tech reporter,Who is really shaping the future of AI?,,,,
54,2025-12-19,Chris Anderson,OpenAI CEO Sam Altman in conversation with TED's,Who is really shaping the future of AI?,,,,
55,2025-12-12,Scarlet Keys,professor of songwriting,Soundtracks of our lives,,,,
56,2025-12-12,Rebecca Kleinberger,voice expert,Soundtracks of our lives,,,,
57,2025-12-12,Snow Raven,musician,Soundtracks of our lives,,,,
58,2025-11-14,Adam Aleksic,linguist,How the creator economy is making you talk like the internet,,,,
59,2025-10-31,Bradley Tusk,political consultant,Move fast...and fix democracy?,,,,
60,2025-10-31,Jennifer Pahlka,political advisor,Move fast...and fix democracy?,,,,
61,2025-10-31,Anna Piperal,e-governance expert,Move fast...and fix democracy?,,,,
62,2025-10-24,Dana Gunders,food waste expert,The great food rescue,,,,
63,2025-10-24,Jasmine Crowe-Houston,social entrepreneur,The great food rescue,,,,
64,2025-10-24,Anthony Myint,sustainability activist,The great food rescue,,,,
65,2025-10-24,Jiaying Zhao,behavioral scientist,The great food rescue,,,,
66,2025-10-03,Hilke Schellmann,Journalist,How companies use AI to choose who gets hired and fired,,,,
67,2025-09-19,Reggie Watts,musician,"Approaches to life: Improvise, pivot or plan",,,,
68,2025-09-19,Sonia Vallabh,biomedical researcher,"Approaches to life: Improvise, pivot or plan",,,,
69,2025-09-19,Kristine McDivitt Tompkins,conservationist,"Approaches to life: Improvise, pivot or plan",,,,
70,2025-09-05,Lisa Damour,psychologist,Are the kids alright? Part 2,,,,
71,2025-08-22,Kelly Corrigan,podcaster,A guide to being brave in relationships,,,,
72,2025-08-22,Allison Gilbert,journalist,A guide to being brave in relationships,,,,
73,2025-08-15,Shane Campbell-Staton,evolutionary biologist,How deserted places find a second life,,,,
74,2025-08-15,Garry Cooper,entrepreneur,How deserted places find a second life,,,,
75,2025-08-15,Anika Goss,urban renewal expert,How deserted places find a second life,,,,
76,2025-08-15,Alysa McCall,conservationist,How deserted places find a second life,,,,
77,2025-08-08,Katherine Kuchenbecker,mechanical engineer,The skin we're in,,,,
78,2025-08-08,Anna Maria Coclite,materials scientist,The skin we're in,,,,
79,2025-08-08,Lee Thomas,TV broadcaster,The skin we're in,,,,
80,2025-08-08,Kathryn Schulz,author,The skin we're in,,,,
81,2025-08-01,Doree Shafrir,writer,How to find joy and success as a late bloomer,,,,
82,2025-08-01,Ashton Applewhite,anti-ageism activist,How to find joy and success as a late bloomer,,,,
83,2025-08-01,Riley Moynes,retired educator,How to find joy and success as a late bloomer,,,,
84,2025-07-04,Machine Dazzle,designer,The state of fashion,,,,
85,2025-07-04,Aparna Mehta,supply chain expert,The state of fashion,,,,
86,2025-07-04,Amanda Mull,journalist,The state of fashion,,,,
87,2025-07-04,Cameron Russell,supermodel,The state of fashion,,,,
88,2025-06-27,Agnieszka Pilat,artists,How taking a second look can change your everything,,,,
89,2025-06-27,Franziska Trautmann,chemical engineer,How taking a second look can change your everything,,,,
90,2025-06-27,Mike Posner,musician,How taking a second look can change your everything,,,,
91,2025-06-20,Dean Lomax,paleontologist,Uncovering the mysteries of the animal kingdom,,,,
92,2025-06-20,Saad Bhamla,biochemical engineer,Uncovering the mysteries of the animal kingdom,,,,
93,2025-06-20,Gowri Shankar,herpetologist,Uncovering the mysteries of the animal kingdom,,,,
94,2025-06-13,Pico Iyer,author,Escaping the modern world and your noisy mind,,,,
95,2025-06-13,Sarah Edmondson,NXIVM whistleblower,Escaping the modern world and your noisy mind,,,,
96,2025-06-13,Lehua Kamalu,navigator,Escaping the modern world and your noisy mind,,,,
97,2025-06-13,Shonda Rhimes,screenwriter,Escaping the modern world and your noisy mind,,,,
98,2025-06-06,Abby Wambach,former professional soccer player,Sports psychology for everyday life,,,,
99,2025-06-06,Sian Leah Beilock,cognitive scientist,Sports psychology for everyday life,,,,
100,2025-06-06,Kate Fagan,journalist,Sports psychology for everyday life,,,,
101,2025-06-06,Sarah Lewis,art historian,Sports psychology for everyday life,,,,
102,2025-05-23,Hajer Sharief,activist,Secrets to successful teamwork,,,,
103,2025-05-23,Amy Edmondson,social psychologist,Secrets to successful teamwork,,,,
104,2025-05-23,Pete Stavros,private equity investor,Secrets to successful teamwork,,,,
105,2025-05-16,Katie Paterson,artist,How we experience time,,,,
106,2025-05-16,Irena Arslanova,cognitive neuroscientist,How we experience time,,,,
107,2025-05-16,Robert Franz,music director,How we experience time,,,,
108,2025-05-16,Philip Zimbardo,the late-psychologist,How we experience time,,,,
109,2025-04-25,Ty Tashiro,social scientist,Life can be so awkward. Here's how to embrace the embarrassing,,,,
110,2025-04-25,Liana Finck,cartoonist,Life can be so awkward. Here's how to embrace the embarrassing,,,,
111,2025-04-25,Melissa Dahl,journalist,Life can be so awkward. Here's how to embrace the embarrassing,,,,
112,2025-04-25,Erin Chen,relationship counselor,Life can be so awkward. Here's how to embrace the embarrassing,,,,
113,2025-04-18,Cell Atlas Aviv Regev,co-founder of the Human,Biotech is about to change your world,,,,
114,2025-04-18,Brad Ringeisen,physical chemist,Biotech is about to change your world,,,,
115,2025-04-18,Aaron Morris,immunoengineer,Biotech is about to change your world,,,,
116,2025-03-28,Kat Naud,equestrian,How the brain interprets pain — and new ways to manage it,,,,
117,2025-03-28,Amy Baxter,researcher,How the brain interprets pain — and new ways to manage it,,,,
118,2025-03-28,Cammie Wolf Rice,opioid reform advocate,How the brain interprets pain — and new ways to manage it,,,,
119,2025-03-14,Gregory Heyworth,textual scientist,"Decoding the secret messages of data, biology and music",,,,
120,2025-03-14,Ralph Chami,economist,"Decoding the secret messages of data, biology and music",,,,
121,2025-02-28,Noah Wilson-Rich,beekeeper,The birds and the bees,,,,
122,2025-02-28,Carin Bondar,biologist,The birds and the bees,,,,
123,2025-02-28,Marlene Zuk,behavioral ecologist,The birds and the bees,,,,
124,2025-02-28,Julia Sweeney,comedian,The birds and the bees,,,,
125,2025-02-14,Joseph McGill Jr,author,Retracing the steps of their ancestors,,,,
126,2025-01-31,Anne Madden,microbiologist,The shocking power of tiny things,,,,
127,2025-01-31,Lera Boroditsky,cognitive scientist,The shocking power of tiny things,,,,
128,2025-01-31,YeYoon Kim,former educator,The shocking power of tiny things,,,,
129,2025-01-31,Bart Weetjens,Zen Buddhist monk,The shocking power of tiny things,,,,
130,2025-01-17,Nita Farahany,AI ethicist,Your brain is the next tech frontier,,,,
131,2025-01-17,Conor Russomanno,entrepreneur,Your brain is the next tech frontier,,,,
132,2025-01-17,Kate Faulkner,sous chef,Your brain is the next tech frontier,,,,
133,2025-01-03,Ariana Curtis,museum curator,Learning from what others leave behind ,,,,
134,2025-01-03,Alexis Charpentier,music curator,Learning from what others leave behind ,,,,
